G_ID,SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES
1599,Leontodon autumnalis,LEOAUT,L.,0,,FALL-DANDELION,Asteraceae,,UPL,forb,PE,advent,LEAU2,,DI,adventive,FAC,FACU,FACU,
1600,Leontodon hispidus,LEOHIS,L.,0,,BIG HAWKBIT,Asteraceae,,UPL,forb,PE,advent,LEHI,,DI,adventive,,,,
1601,Leontodon sp.,LEONTO,L.,,,HAWKBIT,Asteraceae,,UPL,forb,PE,advent,LEONT,,DI,,,,,
1602,Leontodon taraxacoides,LEOTAR,(Villars) Merat,0,,LITTLE HAWKBIT,Asteraceae,,FACU,forb,PE,advent,LETA,,DI,adventive,FACU,UPL,UPL,syn. Leontodon saxatilis
1603,Leonurus cardiaca,LEOCAR,L.,0,,COMMON MOTHERWORT,Lamiaceae,,UPL,forb,PE,advent,LECA2,,DI,adventive,,,,
1604,Leonurus marrubiastrum,LEOMAR,L.,0,,HOREHOUND MOTHERWORT,Lamiaceae,,UPL,forb,BI,advent,CHMA18,,DI,adventive,,,,
1605,Leonurus sp.,LEONUR,L.,,,MOTHERWORT,Lamiaceae,,UPL,forb,ND,advent,LEONU,,DI,,,,,
1606,Lepidium campestre,LEPCAM,(L.) R. Br.,0,,FIELD PEPPER-GRASS,Lamiaceae,,UPL,forb,AN,advent,LECA5,,DI,adventive,,,,
1607,Lepidium densiflorum,LEPDEN,Schrad.,0,,PRAIRIE PEPPER-GRASS,Brassicaceae,290,FAC,forb,AN,advent,LEDE,,DI,adventive,FAC,FAC,FACU,
1608,Lepidium perfoliatum,LEPPER,L.,0,,CLASPING PEPPER-GRASS,Brassicaceae,,UPL,forb,AN,advent,LEPE2,,DI,adventive,UPL,FAC,FACU,
1609,Lepidium ruderale,LEPRUD,L.,0,,STINKING PEPPER-GRASS,Brassicaceae,,UPL,forb,AN,advent,LERU,,DI,adventive,,,,
1610,Lepidium sativum,LEPSAT,L.,0,,GARDEN-CRESS,Brassicaceae,,FACU,forb,AN,advent,LESA2,,DI,adventive,,,,
1611,Lepidium sp.,LEPIDI,L.,,,PEPPER-GRASS,Lamiaceae,,ND,forb,AN,ND,LEPID,,DI,,,,,
1612,Lepidium virginicum,LEPVIR,L.,1,,COMMON PEPPER-GRASS,Brassicaceae,,FACU,forb,AN,full,LEVI3,,DI,native,FACU,FACU,FACU,
1613,Leptochloa fascicularis,LEPFAS,(Lam.) A. Gray,0,syn,SPRANGLETOP GRASS,Poaceae,291,FACW,grass,AN,advent,LEFUF,,MO,adventive,,,,
1614,Leptochloa filiformis,LEPFIL,(Lam.) P. Beauv.,0,,RED SPRANGLETOP,Poaceae,,FACW,grass,AN,advent,LEPAB,,MO,adventive,,,,
1615,Leptoloma cognatum,LEPCOG,(Schultes) Chase,4,,FALL WITCH GRASS,Poaceae,,UPL,grass,PE,full,DICO6,,MO,native,,,,
1616,Lespedeza bicolor,LESBIC,Turcz.,0,,SHRUBBY LESPEDEZA,Fabaceae,,FACU,shrub,PE,advent,LEBI2,,DI,adventive,,,,
1617,Lespedeza capitata,LESCAP,Michx.,5,,ROUND-HEADED BUSH-CLOVER,Fabaceae,,FACU,forb,PE,full,LECA8,,DI,native,FACU,FACU,FACU,
1618,Lespedeza cuneata,LESCUN,(Dumont) G. Don,0,,CHINESE BUSH-CLOVER,Fabaceae,,FACU,forb,PE,advent,LECU,,DI,adventive,FACU,UPL,UPL,
1619,Lespedeza formosa,LESFOR,(Vogel) Koehne,0,,FORMOSAN LESPEDEZA,Fabaceae,,UPL,forb,PE,advent,LEFO3,,DI,adventive,,,,
1620,Lespedeza hirta,LESHIR,(L.) Hornem.,5,,HAIRY BUSH-CLOVER,Fabaceae,,UPL,forb,PE,full,LEHI2,,DI,native,,,,
1621,Lespedeza intermedia,LESINT,(S. Watson) Britton,3,,WAND BUSH-CLOVER,Fabaceae,,UPL,forb,PE,full,LEFR5,,DI,native,,,,
1622,Lespedeza procumbens,LESPRO,Michx.,5,,TRAILING BUSH-CLOVER,Fabaceae,,UPL,forb,PE,full,LEPR,,DI,native,,,,
1623,Lespedeza repens,LESREP,(L.) Barton,6,,SMALL TRAILING BUSH-CLOVER,Fabaceae,,UPL,forb,PE,full,LERE2,,DI,native,,,,
1624,Lespedeza sp.,LESPED,Michx.,,,BUSH-CLOVER,Fabaceae,,ND,forb,PE,ND,LESPE,,DI,,,,,
1625,Lespedeza stipulacea,LESSTI,Maxim.,0,syn,KOREAN-CLOVER,Fabaceae,,FACU,forb,PE,advent,KUST,,DI,adventive,FACU,FACU,FACU,syn. Kummerowia stipulacea
1626,Lespedeza striata,LESSTR,(Thunb.) Hook. & Arn.,0,syn,JAPANESE-CLOVER,Fabaceae,,FACU,forb,PE,advent,KUST2,,DI,adventive,FACU,FACU,FACU,syn Kummerowia striata
1627,Lespedeza thunbergii,LESTHU,(DC.) Nakai,0,,JAPANESE BUSH-CLOVER,Fabaceae,,FACW,forb,PE,advent,LETH4,,DI,adventive,,,,
1628,Lespedeza violacea,LESVIO,(L.) Pers.,4,,VIOLET BUSH-CLOVER,Fabaceae,,UPL,forb,PE,full,LEFR5,,DI,native,,,,
1629,Lespedeza virginica,LESVIR,(L.) Britton,3,,VIRGINIA BUSH-CLOVER,Fabaceae,,UPL,forb,PE,full,LEVI7,,DI,native,,,,
1630,Leucojum aestivum,LEUAES,L.,0,,SNOWFLAKE,Liliaceae,,FACW,forb,PE,advent,LEAE,,MO,adventive,,,,
1631,Leucospora multifida,LEUMUL,(Michx.) Nutt.,5,,LEUCOSPORA,Scrophulariaceae,,OBL,forb,AN,full,LEMU,,DI,native,OBL,FACW,FACW,
1632,Levisticum officinale,LEVOFF,W.D.J. Koch,0,,EUROPEAN LOVEAGE,Apiaceae,,FAC,forb,PE,advent,LEOF,,DI,adventive,,,,
1633,Liatris aspera,LIAASP,Michx.,6,,ROUGH BLAZING-STAR,Asteraceae,292,UPL,forb,PE,full,LIAS,,DI,native,,,,
1634,Liatris cylindracea,LIACYL,Michx.,8,,SLENDER BLAZING-STAR,Asteraceae,,UPL,forb,PE,full,LICY,T,DI,native,,,,
1635,Liatris punctata,LIAPUN,Hook.,0,,DOTTED BLAZING-STAR,Asteraceae,,UPL,forb,PE,advent,LIPU,,DI,adventive,,,,
1636,Liatris pycnostachya,LIAPYC,(L.) Willd.,0,,THICK-SPIKED BLAZING-STAR,Asteraceae,293,FACU,forb,PE,advent,LIPY,,DI,adventive,FACU,FAC,FAC,
1637,Liatris scariosa,LIASCA,(L.) Willd.,6,,NORTHERN BLAZING-STAR,Asteraceae,294,UPL,forb,PE,full,LISC2,,DI,native,FACU,UPL,UPL,
1638,Liatris sp.,LIATRIS,Gaertn. ex Shrib.,,,BLAZING-STAR,Asteraceae,,ND,forb,PE,full,LIATR,,DI,,,,,
1639,Liatris spicata,LIASPI,(L.) Willd.,7,,SPIKED BLAZING-STAR,Asteraceae,,FAC,forb,PE,full,LISP,,DI,native,FAC,FAC,FAC,
1640,Liatris squarrosa,LIASQU,(L.) MIchx.,8,,SCALY BLAZING-STAR,Asteraceae,,UPL,forb,PE,full,LISQ,P,DI,native,,,,
1641,Ligusticum canadense,LIGCAN,(L.) Britton,6,,AMERICAN LOVAGE,Apiaceae,,FAC,forb,PE,shade,LICA16,X,DI,native,FAC,FAC,,
